statusCode,body__Items__gameStatus,body__Items__awayhome,body__Items__location,body__Items__season,body__Items__gameUID,body__Items__odds__total,body__Items__odds__history__date,body__Items__odds__history__total,body__Items__odds__history__prices__spreadHomePrice,body__Items__odds__history__prices__totalOverPrice,body__Items__odds__history__prices__spreadAwayPrice,body__Items__odds__history__prices__totalUnderPrice,body__Items__odds__history__spread,body__Items__odds__prices__spreadHomePrice,body__Items__odds__prices__totalOverPrice,body__Items__odds__prices__spreadAwayPrice,body__Items__odds__prices__totalUnderPrice,body__Items__odds__spread,body__Items__sport,body__Items__startDateTime,body__Items__homeTeam__shortName,body__Items__homeTeam__fullName,body__Items__homeTeam__code,body__Items__gameWeek,body__Items__year,body__Items__results__homeTeam__score,body__Items__results__total,body__Items__results__awayTeam__score,body__Items__results__spread,body__Items__stadium,body__Items__gameId,body__Items__awayTeam__shortName,body__Items__awayTeam__fullName,body__Items__awayTeam__code,body__Count,body__ScannedCount
,Unplayed,LACTB,"Tampa, Florida",Regular,1548074,43,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),45,-106,-107,-104,-104,-7.5,-101,104,-109,-116,-7,nfl,Sun Oct 04 2020 21:00:00 GMT+0000 (Coordinated Universal Time),Buccaneers,Tampa Bay Buccaneers,TB,4,2020,,,,,Raymond James Stadium,2020regLACTB,Chargers,Los Angeles Chargers,LAC,,
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),45,-106,-107,-104,-104,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:25 GMT+0000 (Coordinated Universal Time),45,-103,-102,-107,-109,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:29 GMT+0000 (Coordinated Universal Time),45,-103,-102,-108,-109,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wed Sep 30 2020 09:00:26 GMT+0000 (Coordinated Universal Time),43,110,-106,-122,-105,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),43,112,103,-124,-115,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),43,114,104,-126,-116,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fri Oct 02 2020 09:00:27 GMT+0000 (Coordinated Universal Time),43,103,-103,-113,-108,-7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sat Oct 03 2020 09:00:24 GMT+0000 (Coordinated Universal Time),43,-101,104,-109,-116,-7,,,,,,,,,,,,,,,,,,,,,,,
,Unplayed,MINHOU,"Houston, Texas",Regular,2551103,53,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),54,104,-107,-115,-104,-4,-107,-106,-103,-105,-3.5,nfl,Sun Oct 04 2020 21:00:00 GMT+0000 (Coordinated Universal Time),Texans,Houston Texans,HOU,4,2020,,,,,NRG Stadium,2020regMINHOU,Vikings,Minnesota Vikings,MIN,,
